Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Age,Drooling,-5.951819939,-7.577973388,-4.325666489,3.03837E-22,***
Age,Neonatal Jaundice,-5.22667978,-6.852833229,-3.60052633,7.50268E-16,***
Long/Prominent Philtrum,Drooling,-5.093656031,-9.136090373,-1.05122169,0.002250231,**
Broad Chin,Language Disorder,-5.051040581,-9.101192747,-1.000888416,0.002737606,**
Sparse Eyebrows,Drooling,-4.707808823,-8.755043663,-0.660573982,0.011021103,*
Long Face,Drooling,-4.566947801,-6.171706363,-2.96218924,4.32431E-11,***
Drooling,Friendly/Amiable Affect,-4.511531142,-6.115989047,-2.907073237,9.1114E-11,***
Broad Chin,Drooling,-4.297680549,-8.351810317,-0.24355078,0.037236054,*
Drooling,Pectus Excavatum,-4.240129143,-8.295402852,-0.184855433,0.042749141,*
Everted Lower Lip,Drooling,-4.056511038,-6.432094451,-1.680927624,0.000309272,***
Age,Language Disorder,-3.97767983,-4.877280293,-3.078079366,1.7185E-18,***
Upward Slanting Palpebral Fissures,Drooling,-3.86043063,-5.463983743,-2.256877517,3.46121E-07,***
Sparse Eyebrows,Language Disorder,-3.822453493,-6.208683984,-1.436223002,0.001406114,**
Neonatal Jaundice,Everted Lower Lip,-3.588733619,-5.971042641,-1.206424596,0.004242183,**
Sparse Eyebrows,Motor Developmental Delay,-3.448365395,-4.916318735,-1.980412054,2.99481E-06,***
Upward Slanting Palpebral Fissures,Constipation,-3.338606836,-5.750617908,-0.926595764,0.014254133,*
Long/Prominent Philtrum,Motor Developmental Delay,-3.279715819,-4.534388607,-2.025043032,3.24588E-07,***
High/Broad Forehead,Drooling,-3.234958887,-5.623723956,-0.846193817,0.018994271,*
Intrauterine Growth Restriction,Language Disorder,-3.136662547,-5.544455861,-0.728869234,0.028124284,*
Intrauterine Growth Restriction,Motor Developmental Delay,-3.091123434,-4.755566016,-1.426680852,0.000693069,***
Upward Slanting Palpebral Fissures,Language Disorder,-3.064955442,-4.12007184,-2.009839043,3.61372E-08,***
Neonatal Jaundice,Long/Prominent Philtrum,-2.98886201,-5.38023036,-0.59749366,0.041540678,*
Neonatal Jaundice,Narrow/Short Palpebral Fissures,-2.948873885,-5.341017321,-0.556730449,0.046392778,*
Large/Prominent Ears,Drooling,-2.94506854,-4.55572852,-1.33440856,0.001057266,**
Age,Nystagmus,-2.928636331,-4.951631039,-0.905641624,0.037744616,*
Upward Slanting Palpebral Fissures,Anxiety,-2.824051989,-4.453273743,-1.194830236,0.002551312,**
Age,Constipation,-2.711547599,-4.135459429,-1.28763577,0.000999868,***
Neonatal Jaundice,Long Face,-2.671862151,-3.85523568,-1.488488621,5.17263E-05,***
Language Disorder,Friendly/Amiable Affect,-2.666029687,-3.544528424,-1.78753095,3.63158E-08,***
High/Broad Forehead,Language Disorder,-2.662965013,-4.28763576,-1.038294266,0.005971841,**
Neonatal Jaundice,Friendly/Amiable Affect,-2.620822794,-3.804065913,-1.437579675,8.3838E-05,***
Narrow/Short Palpebral Fissures,Drooling,-2.602205235,-4.4899036,-0.714506871,0.029403028,*
